Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
32.59,1.71,3.11,1.07,19.53,6.89,87.44,36.93,180.7,41.19,405.9,90.64,1
7.14,4.7,6.59,0.638,58.90057145,19.72459261,261.7,84.3626143,387.0543487,90.25802245,951,182.7,0
4.11343947,0.305449639,0.930248342,0.087611719,5.751453699,2.10886526,29.05898283,11.77888815,61.20769628,14.73376815,150.0059246,31.83442612,0
2.058024984,0.600428319,1.751692044,0.105560565,12.59190589,4.87161525,63.35397178,25.49293298,119.8576563,25.12711825,234.195684,48.61282202,0
13.81763253,1.817310594,6.136025015,0.831443576,46.35866368,19.54434983,281.0167127,99.53063461,466.0828527,104.8003251,1059.776218,172.8023492,0
18.91491144,3.983565796,9.183586882,1.144653144,56.79780093,19.64717904,231.4150786,85.71648293,375.0497611,76.27992866,667.5486126,131.6949744,0
21,4.97,8.76,1.29,41.4,14.31,161.2,55.8,252.8,54.2,509,88,1
2.41,0.85,5.52,0.49,47.6,21.5,310,123.1,614,125.6,1097,210.5,0
21,7.14,10.81,0.68,45.2,14.91,153.4,52.1,222.6,46.2,412,69.7,1
71.1,2.85,5.57,1.38,35.3,12.1,137,54.5,235,51.5,429,93.1,1
9.932781754,2.185713565,3.820977674,0.321321278,20.60267238,7.125126647,83.10434343,32.10367359,145.6083094,30.19255885,282.0028515,58.87469587,0
10.54,1.55,3.82,0.7,26.79478199,9.157338364,124.3,40.54675029,188.84324,44.64947076,460,87.3,0
21.4644748,2.3897114,3.081860077,0.505372469,12.62942691,4.703371016,57.70797558,22.66450379,110.7000424,24.05341744,224.1434764,46.89437135,1
8.77,1.33,3.98,0.3,33.1,16.29,254.7,100.5,509.7,122.3,1198,197.8,1
5.78,3.51,10.1,0.23,55.1,18.6,199.2,61.7,209.2,40.1,306,46.2,0
11.24390617,0.669435182,2.238468148,0.768257503,25.42293945,9.507082369,115.2169569,50.25376228,238.5337203,55.05748965,474.2593676,92.15944689,1
9.28,1.64,4.96,1.16,29.1,11.14,143.87,55.78,244.85,58.34,639.54,123.96,1
1.332,2.26,5.81,0.187,35.98,15.22,189.04,72.1,312.22,65.61,597.69,91.57,0
3.61,5.82,10.74,1.213,54.81,18.65,216.63,81.22,352.57,72.83,681.64,128.26,1
3.07,4.91,12.1,0.242,74,25.3,312,111.7,507,97.1,799,152,0
2.29,6.92,9.36,0.797,37.74,12.58439887,127.2,45.42,188.8,37.09575099,327.5,66.07,0
4.56,3.13,5.51,0.58,42.4,15.56,199.4,76.8,367,72.5,619,117.7,0
30.4,10.8,18.8,3.12,85.5,30.6,322,104,407,83,725,125,0
7.51,2.95,5.64,0.278,37.9,14.22,166.8,61.2,274,54.3,447,82,0
52.40310797,1.987582443,3.943778389,0.786164077,26.05096098,9.857166961,136.1358831,52.58825565,275.3073128,58.38435628,588.0868112,107.9952284,1
11.78229717,1.030154295,3.824889856,0.035427818,34.06442893,14.95410959,212.3394648,88.63151478,427.9371531,92.43787712,845.2264444,174.4411253,0
6.19,1.99,4.07,0.25,28.7,9.64,117,47.3,212,44.5,416,79.5,0
21.4,3.22,4.72,0.54,28.4,11.65,154,68.1,309,77,622,146,1
31.4,1.18,3.48,0.136,19.5,7.63,103.7,42.1,217.9,48.4,450,86.9,1
2.42,0.59,1.18,0.268,7.98,2.84,39.35,14.91,73,16.54,154.6,28.65,1
1.996,0.721,2.63,0.367,18.3,7.95,100.13,39.31,183.14,39.45,381.65,75.67,1
