Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
86.5,3.3,5.9,1.6,30.2,10,131.9,52,269.2,63.4,730.4,146.5,0
14.91245499,2.278239648,5.155493602,0.730472972,28.7662851,9.923191321,131.8328896,50.2326402,243.9899931,51.78624136,496.1501334,82.14322879,0
87.46597334,1.84071636,4.001358065,0.615030142,25.74690282,10.22174943,131.0489623,54.33812628,267.0564489,61.68383941,609.4591008,130.4665292,1
60.85255267,2.490884353,5.754211399,0.964044451,32.9578012,12.99061997,154.4548274,52.90285448,234.5894868,46.02130051,435.8713087,79.0429378,1
63.5,3.21,3.04,0.79,19.6,7,86.1,32.1,146,31.3,296,58.3,1
0.526,0.98,4.64,0.078,36,14.68,174.9,52.5,206.2,38.3,300,52.1,0
48.90638763,7.364352798,12.00993805,2.201938116,46.73717049,13.02483454,132.9245875,42.51973225,181.7676499,34.18325573,309.0231229,59.46113748,1
0.51,0.55,2.29,0.054,20.5,11.3,169,77,373,85,825,155,0
17.41817263,2.851416081,6.44426216,0.958249764,50.44772874,21.39949939,314.9895074,113.4529079,529.3610738,120.24589,1212.944717,198.9637443,0
2.14,2.24,4.9,0.44,38,13.3,196,75,377,75,820,131,0
7.85,1.23,2.61,0.82,16.21,5.63,71.64,29.51,141.8,31.95,310.8,68.69,1
52.7,1.4,3.6,0.9,20.4,6.7,85.4,31.8,153.2,32.8,347.4,63.5,0
21.79,1.81,2.81,0.94,13.78,4.04,49.07,17.48,91.47,19.44,199.93,41.85,1
27.3,0.98,1.55,0.587,8.56,3.15,40.6,16.98,91.1,22.7,251,57,1
3.5,1.1,3.24,0.17,14.5,4.97,56.3,19.4,86,17.8,172,30.4,0
2.3,1.12,3.12,0.09,21.2,7.48,98.1,36.4,168,33.8,322,54,0
11.52,1.67,4.03,1.25,27.55,10.48,137.88,56.38,266.19,57.24,548.01,113.34,1
9,0.56,1.75,0.26,8,3.16,35.8,13.1,61.9,14.3,136,24.3,1
6.23,0.82,2.46,0.203,14.4,5.56,67.9,27,126,30,333,46.6,1
25.13,1.1,2.52,2.04,23.02,8.72,117.24,52.72,272.35,66.19,700.04,153.47,1
5.42,2.92,5.71,0.4,21,4.78,39.9,9.19,30.4,4.74,36.2,4.8,0
51.6,3.1,6.4,1.5,39.4,12.9,168.5,64.6,297,67,611,132.2,1
121.03,3.53,7.29,1.92,48.41,18.81,271.24,109.27,550.57,128.93,1379.1,257.35,1
11.79,0.99,2.43,0.48,11.59,3.69,45.03,16.55,72.03,16.06,150.22,30.7,1
20,14,20,2.2,72,19,189,63,236,53,443,74,0
14.95659876,1.112001567,2.603213254,0.33032189,10.82460389,4.072909241,48.76628429,18.64097082,88.89550725,19.87953195,193.4262242,39.56049775,0
5.243047409,0.948182949,3.249338561,0.123330939,22.42010314,9.269028112,124.2418436,50.55646433,237.3438667,51.19002061,475.2505799,96.69590135,0
3.88,4.56,7.21,0.79,27.12,7.09,65.91,21.5,94.57,22.93,210.14,38.4,0
156.1920534,2.721717166,4.280288861,0.832099297,22.29903232,7.981024944,112.8248906,51.3226642,304.196155,82.15793769,953.2657068,235.7581093,1
44,0.88,1.87,0.71,12.4,4.83,61.3,26.4,137.2,35.5,405,89.3,1
11,1.77,3.6,1.13,20.9,7.82,91,39.2,164,37.3,326,69.7,1
3.03,1.46,3.07,0.197,33.68050722,12.42484672,191.5,62.66577993,308.814166,76.90765409,854,167.3,0
17.13,1.546,1.813,0.607,9.68,3.19,42.05,17.76,103.73,23.36,254.39,60.93,1
14.50214514,0.833099808,1.82352051,0.164197202,11.53283568,4.274813628,52.08248065,20.74685563,92.78240467,20.28441061,190.0594467,37.41037723,1
12.46,0.58,1.61,1.17,13.26,6.45,90.01,41.63,228.34,56.53,611.63,137.91,1
1.928564285,0.279064537,2.665632683,0.030714643,17.80287202,10.67028091,160.3445858,73.30028898,384.2344725,102.911202,1070,221.791849,0
20,1.13,2.41,1.15,13.3,4.62,66.2,29.2,145.2438666,35.30492676,475,103,1
16,0.87,2.23,0.48,12.5,4.51,49.4,17.6,84.7,19.4,190,36.4,1
34.16,0.84,2.1,0.83,10.9,3.66,43.67,16.93,88.91,20.19,214.41,45.39,1
64.9,1.16,4.61,0.87,25.5,9.38,107,41.2,180,38.6,315,66.8,1
1.62,1.88,5.44,0.093,47.9,21.26,302,121,601,123.1,1096,211,0
4.82,2.77,5.12,0.37,23.4,6.62,74.2,25.1,105,20.8,201,35.2,0
21.95426702,1.814297503,3.958886967,0.267088751,26.57520904,9.837486731,127.4116416,50.45579486,234.4948142,49.86614388,464.1749866,92.87630379,1
54.3,1.08,3.31,1.04,20.8,7.16,86.1,32,142,32.2,270,57,1
12.3,2.11,5.86,1.03,14.8,4.66,61.43,25.66,127.63,29.17,299.97,66.71,1
1.22,0.84,2.46,0.06,22.01,9.86,138,52.45,246.6,54.19,483.8,87.22,0
19.79,0.72,2.56,2.01,21.04,8.9,115.9,52.7,266.21,65.9,691.22,155.53,1
45.88,0.33,4.25,0.7,24.35,9.26,118.04,42.6,197.47,47.75,537.83,79.67,1
25,0.42,1.23,0.46,7.1,2.88,36.9,15.1,81.5,21.1,247,56.4,1
6.8,0.29,1.3,1.31,11.3,4.2,50.6,19.1,82.5,21.1,259,54.8,1
8.7,7.83,11.9,1.48,66.9,18.9,295,98,505,95.9,934,233,1
13,7.09,9.65,1.07,37.3,11.66,117.9,38.3,157.3,32.4,280,47.2,1
4.04,1.48,3.39,0.2,14.3,4.74,54,19.6,85.1,17.9,172,30.5,0
40.48,1.73,11.16,2.1,48.88,23.85,355.14,141.4,719.76,165.44,1747.48,348.27,0
13.4,3.85,6.32,0.74,35.5,8.3,92.7,31.4,170,27.9,298,53.1,0
6.69,3.93,8.83,0.4,60.1,31.5,465,189,881,213,2062,290,0
2.52,1.49,3.42,0.064,23.33,8.748639146,114.5,45.24,208.9,43.25612041,400.7,82.3,0
1.431,1.332,3.85,0.107,24.25,9.4,119.43,43.28,183.34,42.36,446.4,84.4625,0
9.7,1.44,2.68,0.74,15,5.61,74,29.9,152,33.9,328,71,0
15,0.53,1.43,0.36,9.7,3.89,45.4,18.1,89,20.9,214,41.1,1
12,6.99,9.26,1.24,35.1,11.33,114,37.5,154.2,32.1,277,47.1,1
4.27,0.851,2.19,0.294,14.37,5.76,72.99,29.74,140.95,31.91,320.97,65.51,1
12.42,2.66,4.32,0.22,30.53,12.83,170.4,68.22,312.29,68.22,686.25,112.62,1
1.67,0.92,2.87,0.06,20.45,8.97,107.7,36.35,142.88,28.29,227.05,37.23,0
11.1,5.15,6.87,1.95,31.85,9.18,96.44,33.84,140.69,27.82,251.66,48.06,1
2.26,3.04,5.33,0.263,26.4,8.883522064,100.2,36.4,158.2,31.78200575,280.8,57.4,0
16.5,6.9,21.1,3,121.4,35.1,328,86.8,293.1,53.3,429,61,0
1.93,1.32,3,0.07,20.5,7.24,93.2,34.5,160,32.6,310,52.8,0
4.78,5.08,8.77,0.58,36.4,11.7,128,41.9,178,34.4,329,56.3,0
2.02,0.65,2.55,0.162,20,9.62,148.2,65.4,346,76.3,715,146.3,0
2.25,1.21,3.28,0.113,28.3,11.61,164.1,66.6,333,69.9,615,120.5,0
4.576914346,1.262259573,4.433039484,0.191749098,39.83676523,17.05074039,234.304293,95.66428936,449.1211553,95.83284429,874.243875,176.1414076,0
35.72858597,6.623202316,11.980212,0.473193944,71.02034139,24.629866,308.3726154,112.7546252,531.7923552,99.92611243,889.51669,158.4240763,0
0.95,1.82,3.87,0.07,27.69,11.74,158,61.66,297,65.97,607,110,1
4.18,1.64,2.08,0.23,23.1,10.71,152,60.92,301,68.9,618,132,1
7.719111237,1.77167614,4.898733827,0.349988763,32.69491273,12.44251007,142.2362318,56.72305601,226.4538695,53.16673905,441.3962704,87.08420558,0
23.1,4.02,6.9,0.66,36.3,14.23,178,75,337,85,681,157.6,1
9.97,1.68,3.55,0.25,28.2,11.03,146.72,57.15,256,56.34,516.36,93.4,1
8.66,0.88,2.89,0.78,20,7,114,45,235,53,603,100,0
5.449274287,1.915397036,5.757848002,0.79314504,46.52187838,20.49569475,257.4874926,90.66483615,448.9177505,93.82407113,870.1199182,149.549248,0
31.71,1.79,4.94,0.786,29.17,9.82,129.4,48.5,231.6,51.2,470.1,85,1
2.18,1.25,2.66,0.1,15.5,5.68,73.3,25.6,115,24,236,37.5,0
18.09,0.54,2.46,1.5,19.56,7.79,112.04,49.08,263.8,64.37,685.41,159.54,1
13.36,1.547,2.27,0.864,11.81,4.13,56.29,24,137.82,29.7,318.6,75.7,1
29.55262034,1.955600645,5.007481092,0.74082867,21.6736513,7.055505736,82.30537504,28.99830894,128.6288843,25.30032919,267.9759875,44.66206478,0
4.63,0.801,2.436,0.0666,15.83,6.65,85.33,32.9,155.71,35.52,357.06,59.15,0
40.24367894,1.532231448,4.125589705,1.367415882,50.03467813,18.41198938,231.4216028,101.0156737,457.1632025,99.80547119,838.8748412,154.1999309,1
8.19,0.9,4,0.13,24.2,8.8,112.2,43.6,186,43.5,384.9,68.1,0
9.09,0.37,10.89,0.2,8.71,3.31,47.79,20.72,104.94,24.35,247.58,54.78,1
30.8,0.34,0.97,0.35,6.1,1.7,26.1,11.1,69,17.3,253,55.9,1
13.26,0.65,2.56,0.333,22.33,10.05,154.8,62.53,326.3,76.53,714.4,129.4,0
13.23782822,1.536890072,4.327640187,0.868714858,28.81214358,9.723623155,127.0992465,42.94164433,189.9150057,41.24569311,402.3730706,65.53018918,0
7.54614561,0.893681227,4.300686411,0.281854854,35.96237758,14.36078619,189.5153203,68.61622227,330.1778356,65.17321628,606.0250859,114.9609232,0
16.5,0.6,1.8,0.9,14.1,5.9,81.1,35,179,42.3,432.2,90.6,1
9.1,4.6,7.8,0.5,40.1,19.2,285,107,531,123,1158,219,0
189.6987432,4.677270098,15.08864024,4.599592706,111.5878691,43.94252559,473.2717736,197.8305196,772.479561,202.9319243,1507.057462,418.7337094,1
17.69391353,6.746659657,18.39893893,0.967065538,109.373021,40.91389397,523.8716314,178.6755981,866.8424825,175.3301746,1850.978216,274.250454,0
6.7,4.48,7.09,0.22,28.1,7.5,79.3,25.5,107,20.9,214,36,0
8.21,1.18,2.9,0.98,23,8,126,48,252,55,628,103,0
1.475,1.186,3.91,0.089,24.42,9.61,125.22,46.86,202.74,47.14,499.12,94.772,0
5.15,6.27,12.95,0.39,64.38,22.69,258.87,91.11,377.92,79.03,698.27,118.56,0
1.65,1.39,4.9,0.07,39.4,16,217,83.9,387,81.2,765,127,0
0.38,0.55,2.74,0.05,22.06,9.55,133.4,49.02,228.4,48.52,435.5,82.48,0
7.31,9.08,13.7,0.99,48.4,16.9,203,77,330,73.3,674,121,1
1.61,1.03,2.34,0.077,17.9275708,6.172069371,88.3,27.67279567,129.5851548,30.79202092,308,62.1,0
7.7,8,16.4,0.6,75.2,23,282.2,82.4,424.4,80.4,776.3,91.3,0
7.91,1.56,3.55,0.51,21.07,7.97,102.44,38.89,172.59,42.79,474.7,90.71,1
3.42,2.82,6.09,0.43,37.2,13.2,163,64.3,289,62.2,579,112,0
27,6.31,11.89,3.06,58.1,20.48,219.8,77.9,347.5,74.9,716,123.9,1
14,1.77,3.13,0.57,15.3,5.02,55.3,19,86.6,19.3,185,33.6,1
2.41,1.71,4.18,0.12,26.1,8.98,115,41.4,191,37.7,352,60.3,0
47,0.7,1.4,0.6,13,5,64,31,145,31,293,59,1
12.99,2.15,2.97,0.13,20.06,8.19,109.52,43.11,198.41,44.47,409.7,75.05,1
2.391622694,2.041064286,5.906402885,0.229098274,32.20311357,10.48073676,122.3309451,44.73677538,194.3196334,38.18428945,334.3818386,66.91770962,0
2.5,0.84,3.13,0.38,28.63,11.21,148,60.98,294,65.78,631,118,1
2.146,2.33,3.69,0.507,17.84,6.44,78.49,31.14,149.32,34.06,348.96,73.76,1
2.66,3.86,7.13,0.844,36.67,12.8,149.58,57.09,251.15,53.19,515.74,98.28,1
3.64,3.6,5.39,1.031,25.76,8.64,113.3,44.53,216.1,47.2,425.3,79.11,1
1.08,0.95,3.31,0.03,25.7,11,149,61.2,283,63.2,587,98.2,0
1,2.22,5.5,0.08,37,14.1,198,71,336,66,702,114,0
6.820766959,1.000649936,4.739797406,0.120370751,44.68800041,17.72298377,236.728463,94.29290411,422.6148494,85.929301,740.0221528,146.7686197,0
24.57401474,7.067127694,12.02739397,1.514203342,58.64592791,19.78097568,221.0533557,81.42307587,330.3654804,69.56008237,608.9658906,112.0401168,0
23.7,1.95,2.76,0.37,17.5,5.75,76.5,29.5,147,31.7,352,61.1,1
1.275,1.283,4.39,0.078,29.88,12.21,133.31,38,131.22,25.89,246.21,43.3985,0
10.27790761,1.21119614,4.216710876,0.59811872,34.30746653,14.87543315,218.933179,79.66591675,385.1138726,90.10095829,929.5198096,152.6013846,0
0.83,2.7,11.1,0.21,66,20.5,240,82,309,63,500,74,0
31.33895957,3.224174814,3.863359111,0.714453352,20.82005537,6.401076217,78.16740205,27.98472299,122.6836221,25.06147053,250.984925,44.30227841,0
12.99944489,0.633809614,1.427444833,0.164767351,10.51297821,4.347795514,55.92477217,23.26643868,102.1509433,24.61808445,222.6819705,45.61967754,0
10.93738362,0.5763963,1.553577627,0.465114275,10.8947529,4.880759549,68.13373569,27.08935761,150.8065973,33.01150529,344.9669886,65.75863763,1
6.3,6.6,16.5,0.7,74.2,22.4,261.9,78.1,367.6,71.7,696.1,77.1,0
1.667,1.59,4.82,0.081,31.27,12.44260599,171.1,69.15,321.4,67.98485969,633.6,130.3,0
18.46354366,3.93498991,3.45250453,0.590215212,13.92262935,4.545575255,56.36938243,23.01525214,104.7141831,23.3663906,219.1929404,45.94343113,1
34.1,4.4,7.2,2.7,34.9,10.4,132.5,46.9,213.4,44.6,472.9,84.3,0
6.67,2.76,5.02,0.64,43.1015528,14.80365643,202,66.10446844,309.0079913,73.30784686,767,151,0
3.9,1.61,3.43,0.29,18.1,6.77,82.2,31.9,144,30.7,301,56.1,1
9.055104671,4.014661664,6.298570347,0.134475751,41.64346297,15.64626579,189.1070456,68.55615605,303.8845098,62.29690647,530.5339131,103.7956097,0
59.5,0.92,2.9,0.9,17.4,7,82,32,165,38,413,86,0
4.89,2.8,3.85,0.4,17.2,5.95,69.2,24.9,104,22.6,218,34.2,0
0.825195117,0.722745559,2.846230394,0.092761141,23.77975869,10.8969527,163.0675175,64.62374769,359.2787972,70.32922989,664.3563164,122.0977494,0
2.13,0.92,2.62,0.05,20.5,7.33,97.4,33.2,148,28.5,289,43,0
37.7,2.11,7.3,0.097,55.8,22.25,298.6,122,607,127.3,1159,237.3,1
28.1060398,1.662899963,2.888466871,0.532374032,14.77373511,3.490304894,41.6421735,14.10518618,65.59610971,13.57510527,116.4545557,23.43607396,1
11,0.51,0.76,0.41,4.3,1.78,21.2,7.7,41.8,11,122,25.2,1
56.47,2.25,4.86,1.74,19.4,5.41,59.9,20.46,95.2,19.42,192.8,41.8,1
2.65,3.33,7.31,0.742,33.55,11.86,140.86,53.95,239.9,49.38,479.18,92.8,1
31.5,2.5,4.6,0.7,16.4,4.7,57.2,21.4,96.9,20.3,205,39.6,0
1.4,0.2,0.4,0.1,3,1.3,21.2,11.3,70.7,19,200.1,42.2,0
6.63,3.79,10.5,0.54,62.8,26.1,296,104,424,93,914,138,1
3.33,1.54,3.03,0.257,18.35,7.25,96.31,40.8,195.29,42.25,411.77,80.33,1
1.24,1.15,2.67,0.041,15.77,6.734114292,84.8,34.52,163.6,33.99434646,332.6,68.6,0
11.82,2.97,5.73,1.61,24.45,7.59,85.69,30.61,131.04,26.92,249.25,50.22,1
112.0496158,13.16878474,19.72762188,3.138950979,77.74845214,21.81542782,230.5412459,80.26762047,342.2119554,67.70135135,596.0422779,115.9361896,0
2.14,7.61,11.58,0.679,47.4,16.03459197,165.9,59.5,250.1,49.97390544,444,90.4,0
18.98635902,0.67466843,2.385830075,0.488676998,25.72199441,9.512395634,137.5909318,48.07888345,244.5810232,54.78024235,471.0000164,86.83406289,1
4.85,3.32,8.03,0.3,49.6,16.7,191,66,270,56.8,501,85.7,1
23.5,1.48,3.43,0.63,19.2,6.56,80,30.7,137,29.6,274,53.3,0
1.26,1.62,5.26,0.05,39.6,16,204,79.5,357,77.2,699,122,0
0.99,1.55,4.15,0.07,39.7,16.8,223,91.1,414,89.2,814,143,0
9.73,0.92,3.24,0.12,21.6,8.26,102,39.92,179,37.12,329,66.3,1
14,2.3,6.2,1.26,41.1,13.4,164,60,266,54,523,97,0
0.68,1.87,7,0.138,52.1,16.61,169,48.2,188,34.2,265,48.1,0
17.78871919,1.621339342,3.573790172,0.280379966,19.89727671,7.11616517,85.76482102,31.55558025,147.9810372,30.97373348,325.9485298,57.82992247,0
25,6.68,11.47,0.79,50.3,17.93,202,73.2,327.4,64.8,561,102.4,1
2.483,0.68,1.7,0.335,10.15,3.3,44.89,16.99,87.8,20.65,197.3,38.53,1
11.2,0.85,1.72,0.06,16.08,6.88,101.13,40.72,189.36,42.89,403.77,75.64,1
20.73120133,1.199801045,2.037475181,0.704761316,10.74540948,3.835801279,44.83793751,17.89733558,89.56882666,20.23814642,209.3803085,47.8142093,1
1.293,1.34,4.14,0.08,29.64,14.03,176.51,60.25,240.95,47.03,402.82,61.01,0
3.389926418,1.72221853,4.330912793,0.066631446,23.0548337,8.252837179,95.42602618,35.42861158,159.4530122,32.40999116,280.2917943,56.06224158,0
132.38,4.18,8.52,3.48,38.8,11.21,119.53,39.35,183.95,36.16,340.33,66.99,1
20,6.45,8.75,1.69,38.8,11.55,147.6,50.2,216,47.3,459,79.7,1
171.6989596,3.804797129,9.08239389,4.44393997,56.44121704,19.32694108,235.4042458,108.9004416,486.3646672,138.5645075,1195.423954,338.6685516,1
54.78901705,4.434591236,2.581049791,0.188362101,21.11529525,7.13669816,99.63461894,37.45354359,202.9244705,46.39211865,550.6386881,98.5796967,1
2.124,3.01,6.26,0.142,34.5,12.33454446,145.2,55.4,248,51.47550247,475,97.5,0
7.184106387,1.569559389,3.784057865,0.142140099,21.96979004,8.644048884,111.8319742,43.56345621,206.3246526,45.59950371,433.6488599,89.66123554,0
0.761,1.171,4.06,0.09,27.9,12.22,163.37,63.01,280.96,66.64,707.05,136.3,0
2.23,0.52,0.46,0.102,3.77,2.33,34.9,16.9,96.9,27.1,324,69.2,1
4.86,1.24,2.79,0.27,15.1,5.17,59.8,20.9,89.6,17.9,180,32.4,0
10.46543914,2.983006023,7.574796087,0.45769913,46.74812086,16.48341756,198.23002,74.53258426,319.9988439,62.96311028,530.3075387,103.2473492,0
174.0407512,11.10765442,13.8350872,4.294418256,50.00180887,14.87484226,178.8459672,68.26025664,340.3425955,76.60551972,861.7829255,159.4122167,0
2.63,1.48,5.3,0.31,31.3,13.1,177,71.4,355,71.2,634,128,1
11.93174264,4.789915266,7.051067599,0.658872276,30.28546969,10.19889782,120.8857117,44.29626797,198.9274967,41.65342782,370.8934918,75.16649586,0
4.05,0.6,2.84,0.14,27.99,13.91,218.79,93.19,455.4,104.8,1098.74,189.85,1
17.98,3.86,3.24,0.57,18.23,6.54,85.27,36.16,177.15,38.95,387.46,81.03,1
0.92,0.35,1.63,0.061,13,5.5,58,20,83,18,166,31,0
2.5,3.22,5.6,0.644,26.12,8.95,105.51,41.48,189.09,41.46,414.15,81.12,1
2.381,6.7,10.16,0.664,42.9,15.04385014,160.8,57.9,248.8,48.58849855,433,86.6,0
1.02,0.85,3.19,0.1,26.6,10.1,150,58,292,63,706,118,0
21.02,4.34,2.37,0.4,14.07,5.4,73.25,31.52,155.94,36.05,366.15,77.43,1
0.4,0.74,4.28,0.067,32.7,14.15,174.3,57.8,258,53.9,438,81.7,0
0.69,0.524,2.66,0.166,23.7,12.03,187,82.2,438,106.6,1049,206,0
89.9,2.79,6.58,1.53,36.3,12.7,147,56.3,237,52.3,434,91.2,1
3.7,3.76,6.46,1.108,30.7,10.03,137.3,55.2,273.9,60.2,528,101,1
11.2,1.29,5.12,0.11,38.6,18.8,257,103,494,110,1037,194,0
19.79,1.63,2.87,0.75,17.1,5.8,75.6,30.3,146.4,33.8,334.7,73,1
2.01,3.3,8.09,0.258,52.9,17.9,216,78.5,356,68.7,588,115.1,0
46,11.26,21.57,6.41,108,37.8,394,136.4,593.4,124.1,1173,205.7,1
0.84,0.83,4.27,0.18,33.64,15.73,233.9,94.9,469.1,101.6,921.5,172.8,0
5.086237312,3.232714742,7.219394295,0.685745231,54.38574907,29.94811392,422.428183,180.1646991,934.359636,231.0878314,2410,473.8287814,0
11.57,1.66,4.53,0.25,36,16.15,218.7,87.5,398.79,90.68,856.62,141.35,1
69.82682082,1.694926018,5.212141241,1.085226234,24.45755475,7.867138369,91.55069919,32.21497872,144.4424234,29.48648906,276.4854469,51.64767319,1
29.89064006,6.782436156,8.258084982,3.288545116,29.86485309,7.673826043,77.27766895,24.13953677,97.53421851,18.81864704,169.9854836,32.49676139,1
1.833,2.05,5.84,0.153,34.58,13.86,175.66,63.43,267.06,60.87,644.07,118.9145,0
8.55,1.16,3.37,0.56,22.43,9,115.74,43.99,191.7,45.85,513.76,97.27,1
1.6,2,7,0.3,39.2,15.6,220.3,73.3,337.6,74,743.4,88.3,0
8.6,2.83,6.3,0.56,51.8,18.11,240.5,94.7,456,92.1,787,158.4,0
12,1.9,2.15,0.77,11.8,3.19,38.4,14.2,66.6,15.5,184,30.2,1
33.76,8.2,7.82,0.38,43.83,17.01,218.17,82.14,361.8,76.53,720.43,123.08,1
6.696859318,2.725786248,4.241588392,0.321547939,31.04466503,11.76469015,172.2749837,68.57595254,362.0430987,88.6601197,1039.409344,183.1962236,0
10.3,0.63,1.6,0.3,12.8,5,73,32,166,40,436,91,1
51.55,19.3,34.9,2.104,146.6,41.1,431,137,544,101.4,855,155.4,0
1.03,1.29,3.95,0.026,7.2,4.57,79.1,42.9,196,41.5,411,99.4,0
1.51,1.25,4.2,0.084,30.2,12.17,166.3,66.1,334,68.5,619,124,0
56.30395872,11.52306284,17.78619384,2.884534472,70.55459031,20.58222461,233.6916631,79.73125882,345.2793976,66.7101357,658.4653509,111.3122981,0
25,3.31,6.58,0.57,33.9,12.81,150.4,57.7,276.5,57.8,517,97.4,1
5.08,6.54,13.4,1.43,38.4,8.91,76.2,20.2,64.9,9.51,79,10.6,0
0.335,0.76,3.01,0.027,30.2,13.24,153.7,46.6,188.6,36.9,291,51.3,0
27.37019901,0.861631721,3.544562272,0.251346433,20.34869108,9.013013361,120.1705257,46.90777532,229.1983117,51.03616465,544.2423835,95.91551491,0
13.44048993,2.186032328,3.418722741,0.259594361,19.65990273,6.752973433,93.71975597,35.04631009,171.0669133,34.9107825,329.5415818,56.08632438,0
11.21171878,5.073641669,10.38761486,1.122503386,56.35765878,18.45195968,224.3386462,83.04273014,384.8775251,71.9773007,643.7244198,120.3285222,0
0.455,0.88,3.53,0.058,29.9,12.8,148,45.3,191.8,35.7,296,51.6,0
28,1.18,1.68,0.66,11.5,4.97,59.4,24,122.2,30.5,319,64.2,1
12.96,3.26,4.78,1.36,22.98,6.84,75.35,26.54,112.73,23.37,211.92,42.94,1
2.72,1.56,3.14,0.11,19.8,7.16,91.9,34.2,158,32.2,312,53.1,0
52.08518561,0.963786431,3.361209974,0.989240733,26.5060802,10.54846429,147.4931573,59.30663558,320.0348065,68.0752408,685.3278132,128.2749029,1
12.8,0.47,1.77,1.23,13.4,4.6,64,25.3,118.2,32.1,396,84.8,1
51.62,2.44,4.71,0.67,23.55,10.19,134.83,54.08,275.37,72.39,847.43,137.8,1
5.921023035,0.942934318,1.634938531,0.656808975,9.493077094,3.034949764,36.60780744,14.48601091,80.05382085,18.59704317,207.3734257,47.44681939,1
12.5,1.08,3.37,1.89,16.8,6.5,78.1,29.3,127,34,421,85.2,1
8.41,2.82,7.96,0.87,57.6,22,261,92,428,86.1,770,149.5,0
52.3,2,8.7,0.129,69.2,28.34,372,144.5,721,146.3,1314,263.5,1
6.205842858,0.539292227,1.197125961,0.525656599,11.86740555,5.041233091,70.88524403,26.22790547,127.3612352,29.84571138,272.3965055,52.54212555,1
14.97719273,0.749738106,2.09020745,0.719566058,21.01988016,7.515253003,89.93677884,38.27706859,176.4196087,40.19884579,344.0582181,64.8450436,1
16.57294953,1.086671056,2.222006663,0.648403828,11.49602381,3.880389542,47.14342852,18.32770124,89.06943848,20.58178264,201.5464868,45.08367075,1
8.31,0.64,7.68,0.55,14.65,5.61,78.9,33.43,168.25,37.43,366.1,79.14,1
1.32,1.26,2.97,0.066,22.4,10.31,143,59.4,298,63,564,114.8,0
10,0.94,2.09,0.57,11.7,4.27,49.2,16.9,77.9,17.4,170,32.1,1
2.1,1.63,4.62,0.283,35.8,13.36,156.1,51.5,228,43.7,381,67,0
30.19423588,0.566637189,2.290112093,0.817756748,16.51817834,6.346133353,92.80231477,38.61606016,227.3479356,49.58627102,525.1022537,105.2802616,1
1.4,0.92,2.26,0.07,17.2,7.56,101,35.2,162,33.6,324,54,0
46,1.51,1.48,0.43,14.1,5.5,64,24.5,116,25,254,51.1,1
8.946934981,5.807394696,8.768335198,1.969916248,32.61039275,9.398105722,101.4632233,35.09401529,148.4733038,30.64501828,289.3282354,58.51977655,0
11.61,1.2,12.5,0.77,13.82,5.08,62.84,26.91,136.56,31.77,334.51,72.68,1
16.22043796,1.433987333,4.532491236,0.49620572,26.31156308,9.737276022,124.4787571,47.75510854,229.4360245,43.16871544,405.3043035,70.8025547,0
0.638,1.06,4.13,0.073,38.1,14.77,171.9,54.7,216.6,40.3,343,59.6,0
0.87,2.11,6.57,0.15,55.21,22.19,280.1,106.1,473.9,94.72,838.5,153,0
9.452919147,0.305907969,1.254225546,0.294934309,7.9672462,2.787895757,34.65401559,13.71531948,63.26464713,14.14793569,139.3516072,28.43014548,0
2.6,0.43,1.76,0.04,13.6,5.3,68.9,27,118,23.9,209,41.1,1
4.230176635,1.765144668,4.455345042,0.190905149,25.69958459,8.280609522,94.65393234,36.35859775,157.0000947,32.23066404,289.7232039,59.64501678,0
4.75,0.719,2.87,0.0904,19.89,9.13,124.92,50.73,242.91,55.02,544.52,93.32,0
39.48637923,2.208369884,6.88301782,0.46894057,44.95914083,15.66255317,182.7145182,64.80317114,269.8137199,53.42466614,475.3863841,90.96327259,1
27,8.7,9.7,3.3,33.6,8.9,84.2,24.5,93.5,18.8,165.7,26.3,0
80.9345659,1.662207352,3.842015318,1.07896386,24.0094379,9.020119389,122.8503029,49.21899852,243.9652666,53.55225729,574.6960182,102.824773,1
61.53502634,1.144917059,3.152983906,0.807483331,21.03354596,7.413772684,103.3195855,39.83163979,215.9617871,48.59856175,597.3507211,107.8912359,1
11.67245306,2.158013927,4.573873639,0.525417271,25.28119072,8.948351758,113.8608045,42.64784949,203.7844844,41.24588871,367.2963429,64.77684748,0
15,3.49,6.43,0.54,35.7,12.37,137.3,49,212.6,42.4,374,68.9,1
0.59,1.62,8,0.099,61.2,18.9,189,51.7,191,31.9,261,43.4,0
18.65273978,1.726546156,8.334769219,0.125222565,79.46127799,32.29081872,410.7246815,160.6805133,706.0813547,139.5084436,1177.228138,225.8313357,0
25.22,0.392,0.789,0.355,5.33,2.063,26.67,12.06,66.23,17.44,207.07,46.15,1
40,0.78,1.1,0.52,9.85,3.45,50,20.8,125,29.8,403,79.8,1
2.58,0.85,2.53,0.11,15.6,5.83,71.8,27.7,120,26.6,248,41.5,0
10.97,1.14,2.42,0.64,13.24,4.85,58.16,24.75,119.5,27.21,270.6,60.95,1
1.547,1.072,4.19,0.078,27.15,10.91,117.5,34.92,121.7,24.83,236.27,40.397,0
3.6,5.24,9.89,0.38,45.2,13.3,155,51.6,236,44.2,393,73.7,0
